;;;;
; PRODUCT:INDEX;;EXCHANGE: Cboe;
DATE;CALL;PUT;TOTAL;P/C Ratio
09/25/2015;711704;989570;1701274;1.39
09/28/2015;876413;1165821;2042234;1.33
09/29/2015;704206;1025130;1729336;1.46
09/30/2015;1391305;931044;2322349;0.67
10/01/2015;823264;766878;1590142;0.93
10/02/2015;844457;1014873;1859330;1.2
10/05/2015;1034419;1215445;2249864;1.18
10/06/2015;799913;870894;1670807;1.09
10/07/2015;795058;916782;1711840;1.15
10/08/2015;1066738;951107;2017845;0.89
10/09/2015;1073663;1058026;2131689;0.99
10/12/2015;748151;795276;1543427;1.06
10/13/2015;1340804;990692;2331496;0.74
10/14/2015;951251;984313;1935564;1.03
10/15/2015;885634;1096640;1982274;1.24
10/16/2015;833496;891496;1724992;1.07
10/19/2015;1070726;1070401;2141127;1
10/20/2015;753153;840123;1593276;1.12
10/21/2015;873105;943112;1816217;1.08
10/22/2015;970472;963409;1933881;0.99
10/23/2015;1586116;1123578;2709694;0.71
10/26/2015;391955;479464;871419;1.22
10/27/2015;513504;648976;1162480;1.26
10/28/2015;869564;762590;1632154;0.88
10/29/2015;924698;944921;1869619;1.02
10/30/2015;567397;956085;1523482;1.69
11/02/2015;656484;679452;1335936;1.03
11/03/2015;792172;883850;1676022;1.12
11/04/2015;755053;672997;1428050;0.89
11/05/2015;552072;826253;1378325;1.5
11/06/2015;820518;1110916;1931434;1.35
11/09/2015;869797;1079523;1949320;1.24
11/10/2015;520826;513753;1034579;0.99
11/11/2015;422511;485737;908248;1.15
11/12/2015;751958;1139425;1891383;1.52
11/13/2015;1513657;1603105;3116762;1.06
11/16/2015;1264649;1031337;2295986;0.82
11/17/2015;993804;868526;1862330;0.87
11/18/2015;845973;1076947;1922920;1.27
11/19/2015;690986;715725;1406711;1.04
11/20/2015;583556;831624;1415180;1.43
11/23/2015;471267;694340;1165607;1.47
11/24/2015;560175;698284;1258459;1.25
11/25/2015;402233;615645;1017878;1.53
11/27/2015;378424;527969;906393;1.4
11/30/2015;647652;815608;1463260;1.26
12/01/2015;590392;748984;1339376;1.27
12/02/2015;758629;941701;1700330;1.24
12/03/2015;1041769;1163233;2205002;1.12
12/04/2015;926461;970915;1897376;1.05
12/07/2015;608344;665544;1273888;1.09
12/08/2015;626659;597059;1223718;0.95
12/09/2015;944171;943166;1887337;1
12/10/2015;642808;947535;1590343;1.47
12/11/2015;1757899;1623403;3381302;0.92
12/14/2015;1315808;1409191;2724999;1.07
12/15/2015;1016942;1046435;2063377;1.03
12/16/2015;1265089;975307;2240396;0.77
12/17/2015;808889;962337;1771226;1.19
12/18/2015;617787;966149;1583936;1.56
12/21/2015;385374;583622;968996;1.51
12/22/2015;571355;754319;1325674;1.32
12/23/2015;576648;761665;1338313;1.32
12/24/2015;214410;353929;568339;1.65
12/28/2015;288499;446256;734755;1.55
12/29/2015;541501;589432;1130933;1.09
12/30/2015;322404;524551;846955;1.63
12/31/2015;438635;696628;1135263;1.59
01/04/2016;865573;1025917;1891490;1.19
01/05/2016;611075;697452;1308527;1.14
01/06/2016;909353;1024997;1934350;1.13
01/07/2016;1137299;1756143;2893442;1.54
01/08/2016;899752;1402895;2302647;1.56
01/11/2016;1405084;1393832;2798916;0.99
01/12/2016;769930;943577;1713507;1.23
01/13/2016;967910;1262384;2230294;1.3
01/14/2016;1452812;1501297;2954109;1.03
01/15/2016;1529636;1679638;3209274;1.1
01/19/2016;1161509;1074982;2236491;0.93
01/20/2016;1568414;2082399;3650813;1.33
01/21/2016;812007;1074385;1886392;1.32
01/22/2016;769398;1088498;1857896;1.41
01/25/2016;473012;648386;1121398;1.37
01/26/2016;589158;602027;1191185;1.02
01/27/2016;638155;748184;1386339;1.17
01/28/2016;752611;751397;1504008;1
01/29/2016;1025658;1134722;2160380;1.11
02/01/2016;570695;770118;1340813;1.35
02/02/2016;917864;740324;1658188;0.81
02/03/2016;1181901;879066;2060967;0.74
02/04/2016;788876;830129;1619005;1.05
02/05/2016;1184663;957990;2142653;0.81
02/08/2016;1172159;1213566;2385725;1.04
02/09/2016;993665;901518;1895183;0.91
02/10/2016;663006;777890;1440896;1.17
02/11/2016;1412730;1330072;2742802;0.94
02/12/2016;1076849;1128373;2205222;1.05
02/16/2016;1082106;1090583;2172689;1.01
02/17/2016;1026387;1346567;2372954;1.31
02/18/2016;861570;1138554;2000124;1.32
02/19/2016;713880;918575;1632455;1.29
02/22/2016;1005413;1014686;2020099;1.01
02/23/2016;598625;774531;1373156;1.29
02/24/2016;752883;858866;1611749;1.14
02/25/2016;719455;763552;1483007;1.06
02/26/2016;764890;1028081;1792971;1.34
02/29/2016;630700;852128;1482828;1.35
03/01/2016;1073758;987060;2060818;0.92
03/02/2016;1315769;984941;2300710;0.75
03/03/2016;1340668;1057439;2398107;0.79
03/04/2016;1250245;1098248;2348493;0.88
03/07/2016;659314;643078;1302392;0.98
03/08/2016;997477;853284;1850761;0.86
03/09/2016;697821;684832;1382653;0.98
03/10/2016;859246;937415;1796661;1.09
03/11/2016;1166490;1240500;2406990;1.06
03/14/2016;739246;694281;1433527;0.94
03/15/2016;933543;769370;1702913;0.82
03/16/2016;1094670;993085;2087755;0.91
03/17/2016;1592676;1110984;2703660;0.7
03/18/2016;1046410;1043127;2089537;1
03/21/2016;663171;668964;1332135;1.01
03/22/2016;627418;703328;1330746;1.12
03/23/2016;731228;741719;1472947;1.01
03/24/2016;921548;1013483;1935031;1.1
03/28/2016;649042;487305;1136347;0.75
03/29/2016;730167;754261;1484428;1.03
03/30/2016;1287682;1074499;2362181;0.83
03/31/2016;708841;745531;1454372;1.05
04/01/2016;750325;808756;1559081;1.08
04/04/2016;560448;584665;1145113;1.04
04/05/2016;532412;701418;1233830;1.32
04/06/2016;733371;749463;1482834;1.02
